INDIVIDUAL_ID,ACCT_SUSPD_DATE
13085.0,2022-10-09
13078.0,2022-04-24
15362.0,2022-05-21
18102.0,2022-04-27
12682.0,2022-09-16
18087.0,2022-09-27
13635.0,2022-11-23
14110.0,2022-10-30
12636.0,2022-04-24
17519.0,2022-01-21
13758.0,2022-01-16
12362.0,2022-10-28
15413.0,2022-01-26
16321.0,2022-10-14
17592.0,2022-09-28
16167.0,2022-09-12
17865.0,2022-11-30
13767.0,2022-05-26
13293.0,2022-03-19
17238.0,2022-04-21
16011.0,2022-10-20
13916.0,2022-03-13
15712.0,2022-07-17
15311.0,2022-05-29
16329.0,2022-07-14
15461.0,2022-11-22
17700.0,2022-09-12
14911.0,2022-09-09
15998.0,2022-03-14
12931.0,2022-05-31
15614.0,2022-02-28
12533.0,2022-08-17
16128.0,2022-11-26
16714.0,2022-01-11
17984.0,2022-05-18
14748.0,2022-03-20
14871.0,2022-08-21
13394.0,2022-10-11
12615.0,2022-07-13
15299.0,2022-03-27
16393.0,2022-04-13
14040.0,2022-02-11
15796.0,2022-08-28
12913.0,2022-07-24
15091.0,2022-08-09
15061.0,2022-02-20
14292.0,2022-11-11
14341.0,2022-11-27
17804.0,2022-06-11
14156.0,2022-05-09
13599.0,2022-03-19
13768.0,2022-02-15
17641.0,2021-12-13
17063.0,2022-03-20
13545.0,2022-10-18
16955.0,2022-02-25
15719.0,2022-01-09
12490.0,2022-05-22
15793.0,2022-10-30
17056.0,2022-11-11
13526.0,2022-03-15
14654.0,2022-10-18
17998.0,2022-11-26
17742.0,2022-01-15
15326.0,2022-03-31
14478.0,2022-10-16
15005.0,2022-04-19
15967.0,2021-12-16
17611.0,2022-08-20
15051.0,2022-04-01
13097.0,2022-04-29
13590.0,2022-10-30
14030.0,2022-09-12
15984.0,2022-01-24
17091.0,2022-08-28
16887.0,2022-09-23
12921.0,2022-10-23
14621.0,2022-03-18
14543.0,2022-08-17
15945.0,2022-05-19
18037.0,2022-10-20
15662.0,2022-11-23
15380.0,2021-12-24
16422.0,2022-11-24
13711.0,2022-06-26
16150.0,2022-01-22
13110.0,2022-10-16
12836.0,2022-10-24
18287.0,2022-03-16
15254.0,2022-02-12
16620.0,2022-01-15
12758.0,2022-04-14
14558.0,2022-02-18
17961.0,2022-07-26
17485.0,2022-08-18
15601.0,2022-09-27
13585.0,2022-03-01
13442.0,2022-11-13
13381.0,2022-04-13
16763.0,2022-05-02
17345.0,2022-08-31
17243.0,2022-03-16
14865.0,2021-12-09
13819.0,2022-11-12
15750.0,2022-11-28
15808.0,2022-01-27
17191.0,2022-06-09
13748.0,2022-04-16
15265.0,2022-01-22
17428.0,2022-08-09
15485.0,2022-04-17
17246.0,2022-11-21
14061.0,2022-08-15
14108.0,2022-01-23
13648.0,2022-04-26
16563.0,2022-10-14
16701.0,2022-06-19
12842.0,2022-04-23
14302.0,2022-08-10
14135.0,2022-03-14
14831.0,2022-01-27
15602.0,2022-05-27
13777.0,2021-12-20
14000.0,2022-06-17
16823.0,2022-08-12
16163.0,2022-06-21
17193.0,2022-02-12
15759.0,2022-07-29
16131.0,2022-03-21
14560.0,2022-08-26
12523.0,2022-07-21
17019.0,2022-01-28
17087.0,2022-11-25
14894.0,2022-02-25
15353.0,2022-05-20
16202.0,2021-12-14
16700.0,2022-07-02
17511.0,2022-09-12
12755.0,2022-01-01
14299.0,2022-11-30
17949.0,2022-03-27
14799.0,2022-06-12
16550.0,2022-09-17
12980.0,2022-07-17
14425.0,2021-12-22
17818.0,2022-03-31
13623.0,2022-10-30
13654.0,2022-08-14
17189.0,2022-11-25
13269.0,2022-04-18
14653.0,2022-02-01
15542.0,2022-02-25
13564.0,2022-11-29
16467.0,2022-10-10
15833.0,2022-01-02
14527.0,2022-03-28
17476.0,2022-08-20
15287.0,2022-02-02
14440.0,2022-09-19
15680.0,2021-12-19
15581.0,2022-12-02
13740.0,2022-02-22
13070.0,2022-10-02
17768.0,2022-07-30
12948.0,2022-01-27
16797.0,2022-10-27
14667.0,2022-02-16
17377.0,2022-06-23
14467.0,2022-03-21
13457.0,2022-03-20
18108.0,2022-09-21
16210.0,2022-04-25
17867.0,2022-10-11
14669.0,2022-09-14
17909.0,2022-04-02
16086.0,2022-03-15
16711.0,2022-10-01
14739.0,2022-11-02
16233.0,2022-05-30
14204.0,2022-09-17
17606.0,2022-07-02
16126.0,2022-02-13
17412.0,2022-03-28
16525.0,2022-09-17
13313.0,2022-08-13
12435.0,2022-03-18
14549.0,2022-03-21
14106.0,2022-02-18
14980.0,2022-07-18
14396.0,2021-12-10
14122.0,2022-09-23
16987.0,2022-09-14
12471.0,2022-05-20
17809.0,2022-09-20
15917.0,2022-07-21
14987.0,2022-06-22
14080.0,2022-09-27
16200.0,2022-01-12
15794.0,2022-02-22
15523.0,2022-03-11
15615.0,2022-07-16
18001.0,2022-08-18
17841.0,2022-05-20
13089.0,2022-11-28
15989.0,2022-09-25
17660.0,2022-01-01
12437.0,2022-04-28
14841.0,2022-07-14
14646.0,2022-03-19
15482.0,2022-04-11
16156.0,2021-12-23
17716.0,2022-05-02
12779.0,2022-05-23
13611.0,2022-10-09
15255.0,2022-03-22
14771.0,2022-12-02
14838.0,2022-05-30
13979.0,2021-12-09
13800.0,2021-12-09
14483.0,2022-11-15
14915.0,2022-07-11
13753.0,2022-04-08
16301.0,2022-01-20
13931.0,2022-04-12
12705.0,2022-12-02
17035.0,2022-08-29
15194.0,2022-08-22
14347.0,2021-12-24
12934.0,2022-02-25
12484.0,2022-01-19
14895.0,2022-06-12
15291.0,2022-09-22
17209.0,2022-05-09
15658.0,2022-06-23
17314.0,2022-02-01
17155.0,2022-02-20
15965.0,2022-02-19
17322.0,2022-07-19
16159.0,2021-12-13
14051.0,2022-07-21
13993.0,2022-11-14
17411.0,2022-06-24
15768.0,2022-04-27
12835.0,2022-10-29
15179.0,2021-12-17
17069.0,2022-01-18
16918.0,2022-05-14
15466.0,2022-08-28
14159.0,2022-09-11
17940.0,2022-01-31
17581.0,2022-08-16
16168.0,2022-11-23
14606.0,2022-08-02
17287.0,2021-12-22
17913.0,2022-10-22
13416.0,2022-06-15
16779.0,2022-09-08
13895.0,2022-03-29
14057.0,2022-04-02
17017.0,2022-10-18
13208.0,2022-06-02
17465.0,2022-01-26
13468.0,2022-06-16
13485.0,2022-07-21
17271.0,2022-02-16
16139.0,2021-12-22
15953.0,2022-01-21
15856.0,2022-11-21
14967.0,2022-08-13
16497.0,2022-02-28
17764.0,2022-09-12
14905.0,2021-12-30
18229.0,2022-02-20
13001.0,2022-11-02
17293.0,2022-03-29
17853.0,2022-01-19
15550.0,2022-06-14
13531.0,2022-10-10
13786.0,2022-03-26
14952.0,2022-10-12
14031.0,2022-02-26
12937.0,2022-03-22
16612.0,2022-08-15
12949.0,2022-10-02
14958.0,2022-02-06
17329.0,2022-08-12
17576.0,2022-10-31
16736.0,2022-01-29
14644.0,2022-08-01
14898.0,2022-08-28
14662.0,2022-10-16
17414.0,2022-09-14
14755.0,2022-05-15
13037.0,2022-08-10
14710.0,2022-05-17
18168.0,2022-10-15
17679.0,2022-04-12
16570.0,2022-09-15
17851.0,2022-04-22
14277.0,2022-08-23
14750.0,2022-01-28
16549.0,2022-04-23
16791.0,2022-03-24
16558.0,2022-04-11
15884.0,2022-09-13
17663.0,2022-06-11
17343.0,2022-01-30
17372.0,2022-01-29
16003.0,2022-10-20
17432.0,2022-05-15
14713.0,2022-06-09
16722.0,2022-01-25
12577.0,2022-09-09
12872.0,2022-07-26
15755.0,2022-06-23
14258.0,2022-02-27
14286.0,2022-03-26
13154.0,2022-09-02
14564.0,2021-12-21
13408.0,2022-01-24
16961.0,2022-10-23
16645.0,2022-11-20
12714.0,2022-11-09
12525.0,2022-02-16
16335.0,2022-08-29
14221.0,2022-11-22
13093.0,2022-02-16
12759.0,2022-09-26
13666.0,2022-09-29
17160.0,2022-05-27
13946.0,2022-09-01
14723.0,2022-01-14
14961.0,2022-04-23
14735.0,2021-12-24
18061.0,2022-11-24
15078.0,2022-01-20
17389.0,2022-09-08
16883.0,2022-01-28
13175.0,2022-04-16
17076.0,2022-10-17
13948.0,2022-08-20
18223.0,2022-10-14
16192.0,2022-05-16
16541.0,2022-01-21
15999.0,2022-11-27
15109.0,2022-05-21
14680.0,2021-12-14
18092.0,2022-03-01
16891.0,2021-12-18
13481.0,2022-07-10
13807.0,2021-12-31
12349.0,2022-11-01
14979.0,2022-03-15
16656.0,2022-10-14
16746.0,2022-06-11
17157.0,2022-11-02
15309.0,2022-03-22
16325.0,2022-04-09
16723.0,2022-07-31
16699.0,2022-04-01
16710.0,2022-07-16
12510.0,2022-05-31
13162.0,2022-05-16
15382.0,2022-09-27
13680.0,2022-03-13
12970.0,2022-10-27
17935.0,2022-12-02
17593.0,2022-08-27
15767.0,2022-08-27
17151.0,2022-07-02
16451.0,2022-02-08
17127.0,2022-02-12
13694.0,2022-01-26
14087.0,2022-04-02
13733.0,2022-10-28
18181.0,2022-08-11
13174.0,2022-05-31
13329.0,2022-09-14
17421.0,2022-10-29
16351.0,2022-04-08
15684.0,2022-07-19
17884.0,2022-06-02
15514.0,2022-05-20
18225.0,2022-09-30
13679.0,2022-06-19
12748.0,2022-10-09
13199.0,2022-10-13
13487.0,2022-09-14
17018.0,2022-01-14
18071.0,2022-01-17
16593.0,2022-09-09
14238.0,2022-05-28
15223.0,2022-06-24
13021.0,2022-11-10
17115.0,2022-02-18
17850.0,2022-07-21
14239.0,2022-03-16
13999.0,2022-08-24
13958.0,2021-12-15
13641.0,2022-05-11
15420.0,2022-08-21
12359.0,2022-06-26
12820.0,2022-11-18
16410.0,2022-06-22
15240.0,2022-01-16
16158.0,2022-08-18
15484.0,2022-11-18
14709.0,2022-07-27
15057.0,2022-04-08
14867.0,2022-02-02
17642.0,2021-12-19
13813.0,2022-08-22
13589.0,2022-08-24
12417.0,2022-03-11
17920.0,2022-02-01
12975.0,2022-03-16
16104.0,2022-09-13
17150.0,2022-01-18
15059.0,2022-06-23
16277.0,2022-07-25
17244.0,2022-07-17
15260.0,2022-05-22
12583.0,2022-04-16
15555.0,2022-05-30
13736.0,2022-06-10
14133.0,2022-07-13
